City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Carnarvon,AU,2022-03-25 00:33:08,-24.8667,113.6333,82.47,61,100,3.44
67,Minot,US,2022-03-25 00:40:54,48.2325,-101.2963,43.02,65,100,29.93
68,Lebu,CL,2022-03-25 00:35:07,-37.6167,-73.65,55.15,81,2,24.65
69,Bluff,NZ,2022-03-25 00:32:24,-46.6,168.3333,60.03,61,27,8.66
70,Lompoc,US,2022-03-25 00:32:07,34.6391,-120.4579,81.01,72,0,12.66
71,Dikson,RU,2022-03-25 00:34:03,73.5069,80.5464,9.23,90,89,15.93
72,Kamenka,RU,2022-03-25 00:40:55,51.3223,42.7678,21.63,91,0,3.36
73,Zachary,US,2022-03-25 00:40:56,30.6485,-91.1565,64.72,36,0,4.61
74,Ponta Do Sol,PT,2022-03-25 00:34:24,32.6667,-17.1,63.01,74,48,6.22
75,Atuona,PF,2022-03-25 00:32:17,-9.8,-139.0333,79.34,80,94,17.76
76,The Valley,AI,2022-03-25 00:40:57,18.217,-63.0578,77.09,71,5,23.49
77,Kodiak,US,2022-03-25 00:32:25,57.79,-152.4072,35.11,93,100,11.5
78,Beloha,MG,2022-03-25 00:40:58,-25.1667,45.05,71.85,75,0,4.74
79,Esperance,AU,2022-03-25 00:32:53,-33.8667,121.9,64.24,56,0,13.22
80,Bereda,ES,2022-03-25 00:34:21,43.2686,-7.5406,45.57,100,45,3.18
81,Agde,FR,2022-03-25 00:40:59,43.3108,3.4758,43.9,87,0,5.75
82,Akdepe,TM,2022-03-25 00:34:36,42.0551,59.3788,42.89,58,100,19.77
83,Port Alfred,ZA,2022-03-25 00:33:09,-33.5906,26.891,66.58,81,60,11.01
84,Mazatlan,MX,2022-03-25 00:39:31,23.2167,-106.4167,82.36,59,0,8.99
85,Qaanaaq,GL,2022-03-25 00:32:07,77.484,-69.3632,-13.5,58,19,8.03
86,Busselton,AU,2022-03-25 00:29:51,-33.65,115.3333,66.25,51,17,12.66
87,Gorele,TR,2022-03-25 00:41:00,41.0308,39.0031,38.39,88,99,4.59
88,Pevek,RU,2022-03-25 00:33:26,69.7008,170.3133,5.47,94,98,6.69
89,Airai,TL,2022-03-25 00:29:44,-8.9266,125.4092,66.69,79,65,0.89
90,Oistins,BB,2022-03-25 00:34:19,13.0667,-59.5333,78.89,69,40,25.32
91,Ribeira Grande,PT,2022-03-25 00:34:01,38.5167,-28.7,61.32,87,100,27.13
92,Saint-Philippe,RE,2022-03-25 00:32:30,-21.3585,55.7679,76.59,82,7,7.7
93,Bani,DO,2022-03-25 00:41:01,18.2833,-70.3333,79.86,77,1,9.28
94,Abha,SA,2022-03-25 00:41:01,18.2164,42.5053,55.22,47,0,3.44
95,Laguna,US,2022-03-25 00:41:02,38.421,-121.4238,82.58,26,0,9.22
96,Touros,BR,2022-03-25 00:28:30,-5.1989,-35.4608,79.38,83,64,9.17
97,Kirs,RU,2022-03-25 00:41:02,59.3388,52.2447,23.68,83,100,12.82
98,Dudinka,RU,2022-03-25 00:35:41,69.4058,86.1778,7.63,93,98,15.41
99,Cabo San Lucas,MX,2022-03-25 00:30:09,22.8909,-109.9124,79.61,49,100,3.0
100,Margate,GB,2022-03-25 00:41:03,51.3813,1.3862,49.3,85,0,1.99
101,Victoria,HK,2022-03-25 00:32:25,22.2855,114.1577,70.97,94,96,15.99
102,Coquimbo,CL,2022-03-25 00:29:18,-29.9533,-71.3436,64.33,71,0,2.37
103,Ilulissat,GL,2022-03-25 00:33:49,69.2167,-51.1,17.62,53,100,4.61
104,Jieshi,CN,2022-03-25 00:41:04,22.8134,115.8257,63.95,92,98,12.68
105,Araouane,ML,2022-03-25 00:41:05,18.9048,-3.5265,81.3,13,40,5.37
106,Aykhal,RU,2022-03-25 00:41:05,66.0,111.5,8.42,71,100,5.14
107,Fortuna,US,2022-03-25 00:32:50,40.5982,-124.1573,55.92,86,20,11.5
108,Avera,US,2022-03-25 00:33:34,33.194,-82.5271,59.56,60,100,5.82
109,Kupang,ID,2022-03-25 00:36:45,-10.1667,123.5833,81.73,82,100,1.21
110,Butaritari,KI,2022-03-25 00:32:19,3.0707,172.7902,80.62,70,57,12.86
111,Russell,US,2022-03-25 00:32:42,32.3502,-85.1999,64.0,43,0,5.75
112,Bethel,US,2022-03-25 00:28:21,41.3712,-73.414,44.02,93,100,3.0
